coding	meaning
777770005	Tildrakizumab (product)
431484009	Fluoroscopic PTA (percutaneous transluminal angioplasty) of renal artery with contrast
777770005	Tildrakizumab
431560003	Fluoroscopic PTA (percutaneous transluminal angioplasty) of profunda femoris artery with contrast
776444003	Kaolin (product)
431560003	Fluoroscopy guided percutaneous transluminal angioplasty of profunda femoris artery with contrast
776444003	Kaolin
777896000	Urea (product)
431951000	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of brachial vein with contrast
777896000	Urea
431932006	Fluoroscopic PTA (percutaneous transluminal angioplasty) of iliac vein with contrast
434245001	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of splenic artery with contrast
775781009	Theophylline + Ephedrine (product)
433040008	Fluoroscopic PTA (percutaneous transluminal angioplasty) of hepatic artery with contrast
431951000	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplasty) of brachial vein with contrast
775781009	Theophylline + Ephedrine
438412009	Fluoroscopic PTA (percutaneous transluminal angioplasty) of vertebral artery with contrast
781300005	Ceftazidime + Avibactam (product)
438412009	Fluoroscopy guided percutaneous transluminal angioplasty of vertebral artery with contrast
781300005	Ceftazidime + Avibactam
433852002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of common femoral vein with contrast
774389001	Sterculia (product)
431523002	Fluoroscopic PTA (percutaneous transluminal angioplasty) of popliteal vein with contrast
774389001	Sterculia
431523002	Fluoroscopy guided percutaneous transluminal angioplasty of popliteal vein with contrast
774812007	Benzoyl peroxide + Clindamycin (product)
433686009	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of common femoral artery with contrast
774812007	Benzoyl peroxide + Clindamycin
431561004	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplasty) of subclavian vein with contrast
434433007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of common carotid artery with contrast
777274002	Potassium chloride (product)
433107002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of graft with contrast
432765008	Fluoroscopy guided percutaneous embolisation of axillary vein with contrast
777274002	Potassium chloride
432379002	Fluoroscopy guided percutaneous embolisation of innominate vein with contrast
776510007	Levobunolol (product)
433257004	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of tibial artery with contrast
776510007	Levobunolol
433257004	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of tibial artery with contrast
777769009	Tigecycline (product)
433599004	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of superficial femoral artery with contrast
777769009	Tigecycline
434246000	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of superior mesenteric artery with contrast
777300009	Prazepam (product)
431522007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of portal vein with contrast
777300009	Prazepam
429933006	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of transplanted renal artery with contrast
431751008	Fluoroscopic PTA (percutaneous transluminal angioplasty) of thoracic aorta with contrast
776624004	Magnesium sulfate (product)
432868000	Fluoroscopy guided percutaneous transluminal angioplasty of common iliac artery with contrast
431595000	Fluoroscopic PTA (percutaneous transluminal angioplasty) of superior mesenteric artery with contrast
776624004	Magnesium sulfate
432868000	Fluoroscopic PTA (percutaneous transluminal angioplasty) of common iliac artery with contrast
776697004	Mesalazine (product)
776697004	Mesalazine
433816001	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of common iliac artery with contrast
775245007	Imipenem + Cilastatin (product)
432498004	Fluoroscopy guided percutaneous embolisation of gastric artery with contrast
775245007	Imipenem + Cilastatin
775806008	Eptifibatide (product)
433597002	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplasty) of profunda femoris artery with contrast
775806008	Eptifibatide
431930003	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplasty) of brachiocephalic artery with contrast
431930003	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of brachiocephalic artery with contrast
774951001	Butobarbital (product)
432306008	Fluoroscopy guided percutaneous embolisation of brachial artery with contrast
434434001	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of subclavian artery with contrast
774951001	Butobarbital
431660006	Fluoroscopic PTA (percutaneous transluminal angioplasty) of common femoral artery with contrast
777884007	Turpentine oil (product)
431660006	Fluoroscopy guided percutaneous transluminal angioplasty of common femoral artery with contrast
777884007	Turpentine oil
434405007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of popliteal vein with contrast
776432001	Itraconazole (product)
434405007	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of popliteal vein with contrast
776432001	Itraconazole
432867005	Fluoroscopic PTA (percutaneous transluminal angioplasty) of common femoral vein with contrast
777949009	Water (product)
433636003	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of axillary artery with contrast
777949009	Water
433636003	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of axillary artery with contrast
433734009	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of internal carotid artery with contrast
774798001	Benzocaine + Mepyramine (product)
433734009	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of internal carotid artery with contrast
439700004	Fluoroscopic PTA (percutaneous transluminal angioplasty) of cerebral venous sinus with contrast
774798001	Benzocaine + Mepyramine
433694002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of coeliac artery with contrast
775257003	Cinnarizine (product)
433808005	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of superficial femoral vein with contrast
775257003	Cinnarizine
431253005	Fluoroscopic PTA (percutaneous transluminal angioplasty) of renal vein with contrast
775450004	Dapsone + Pyrimethamine (product)
431253005	Fluoroscopy guided percutaneous transluminal angioplasty of renal vein with contrast
775450004	Dapsone + Pyrimethamine
431594001	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of cephalic vein with contrast
775515005	Dexmedetomidine (product)
431594001	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplsaty) of cephalic vein with contrast
775515005	Dexmedetomidine
431594001	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of cephalic vein with contrast
431657004	Fluoroscopic PTA (percutaneous transluminal angioplasty) of popliteal artery with contrast
777950009	White soft paraffin (product)
777950009	White soft paraffin (product)
431657004	Fluoroscopy guided percutaneous transluminal angioplasty of popliteal artery with contrast
431945005	Fluoroscopy guided intravascular ultrasonography of coronary artery with contrast
777950009	White soft paraffin
777950009	White soft paraffin
432700000	Fluoroscopy guided percutaneous embolisation of axillary artery with contrast
777426000	Reteplase (product)
432377000	Fluoroscopy guided percutaneous embolisation of splenic artery with contrast
777426000	Reteplase
432503001	Fluoroscopy guided percutaneous embolisation of tibial vein with contrast
776967009	Octocog alfa (product)
431210005	Fluoroscopic PTA (percutaneous transluminal angioplasty) of radial artery with contrast
776967009	Octocog alfa
431210005	Fluoroscopy guided percutaneous transluminal angioplasty of radial artery with contrast
774594002	Amprenavir (product)
431525009	Fluoroscopic PTA (percutaneous transluminal angioplasty) of abdominal aorta with contrast
774594002	Amprenavir
431525009	Fluoroscopy guided percutaneous transluminal angioplasty of abdominal aorta with contrast
433638002	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of inferior mesenteric artery with contrast
776165000	Guselkumab (product)
434304007	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of ulnar artery with contrast
776165000	Guselkumab
431212002	Fluoroscopy guided percutaneous transluminal angioplasty of ulnar artery with contrast
777680001	Taurine (product)
431212002	Fluoroscopic PTA (percutaneous transluminal angioplasty) of ulnar artery with contrast
777680001	Taurine
431421003	Fluoroscopy guided percutaneous transluminal angioplasty of brachial artery with contrast
775143007	Dimeticone + Cetrimide (product)
431421003	Fluoroscopic PTA (percutaneous transluminal angioplasty) of brachial artery with contrast
775143007	Dimeticone + Cetrimide
775269006	Citric acid + Ipecacuanha (product)
775269006	Citric acid + Ipecacuanha
774786006	Benzatropine (product)
774786006	Benzatropine
775028007	Candesartan (product)
775028007	Candesartan
776239008	Telmisartan + Hydrochlorothiazide (product)
776239008	Telmisartan + Hydrochlorothiazide
776354000	Interferon beta 1b (product)
776354000	Interferon beta 1b (product)
776354000	Interferon beta 1b
776354000	Interferon beta 1b
777811009	Toremifene (product)
431535003	Fluoroscopic PTA (percutaneous transluminal angioplasty) of external carotid artery with contrast
777811009	Toremifene
431535003	Fluoroscopy guided percutaneous transluminal angioplasty of external carotid artery with contrast
776038005	Fosamprenavir (product)
431659001	Fluoroscopy guided percutaneous transluminal angioplasty of common carotid artery with contrast
776038005	Fosamprenavir
431659001	Fluoroscopic PTA (percutaneous transluminal angioplasty) of common carotid artery with contrast
777553004	Sodium chloride (product)
433711000	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of external carotid artery with contrast
777553004	Sodium chloride
432866001	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of mesenteric vein with contrast
776101007	Gestrinone (product)
432866001	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of mesenteric vein with contrast
776101007	Gestrinone
432641002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of superior vena cava with contrast
432684001	Fluoroscopic PTA (percutaneous transluminal angioplasty) of coeliac artery with contrast
836466001	Enfortumab vedotin (product)
432683007	Fluoroscopic PTA (percutaneous transluminal angioplasty) of brachiocephalic artery with contrast
432683007	Fluoroscopy guided percutaneous transluminal angioplasty of brachiocephalic artery with contrast
836466001	Enfortumab vedotin
433663002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of renal vein with contrast
776481004	Latanoprost (product)
433663002	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of renal vein with contrast
776481004	Latanoprost
433735005	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of radial artery with contrast
776903006	Nicorandil (product)
776903006	Nicorandil
434157004	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of renal artery with contrast
777388000	Rabeprazole (product)
434157004	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of renal artery with contrast
777388000	Rabeprazole
434166000	Fluoroscopy guided percutaneous embolisation of ulnar artery with contrast
777925006	Venetoclax (product)
431433008	Fluoroscopic PTA (percutaneous transluminal angioplasty) of inferior mesenteric artery with contrast
777925006	Venetoclax
432496000	Fluoroscopy guided percutaneous embolisation of penile artery with contrast
830203004	Crizanlizumab (product)
830203004	Crizanlizumab
431658009	Fluoroscopic PTA (percutaneous transluminal angioplasty) of superficial femoral artery with contrast
775704003	Droperidol (product)
775704003	Droperidol
776612006	Magnesium chloride (product)
432695007	Fluoroscopy guided percutaneous embolisation of portal vein with contrast
776612006	Magnesium chloride
775831009	Escitalopram (product)
433712007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of popliteal artery with contrast
433712007	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of popliteal artery with contrast
775831009	Escitalopram
431866003	Fluoroscopy guided sampling of blood of parathyroid vein with contrast
775270007	Citric acid + Magnesium carbonate (product)
775270007	Citric acid + Magnesium carbonate
433662007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of external iliac artery with contrast
775957008	Fesoterodine (product)
433638002	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of inferior mesenteric artery with contrast
775957008	Fesoterodine
434304007	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of ulnar artery with contrast
774505006	Aluminium chloride (product)
433108007	Fluoroscopic cutting balloon PTA (percutaneous transluminal angioplasty) of innominate vein with contrast
774505006	Aluminium chloride
434031000	Fluoroscopy guided percutaneous embolisation of ovarian vein with contrast
432432001	Fluoroscopy guided percutaneous embolisation of mesenteric vein with contrast
776583003	Lubiprostone (product)
432766009	Fluoroscopy guided percutaneous embolisation of hepatic vein with contrast
434225009	Fluoroscopy guided percutaneous embolisation of cephalic vein with contrast
776583003	Lubiprostone
431824004	Fluoroscopy guided sampling of blood of adrenal vein with contrast
776979009	Olaratumab (product)
776979009	Olaratumab
776063005	Gadodiamide (product)
431460001	Fluoroscopy guided venous sampling of blood of hepatic vein with contrast
776063005	Gadodiamide
781192001	Post-operative wound cellulitis
777679004	Tasonermin (product)
781191008	Extensive post-operative wound cellulitis
777679004	Tasonermin
403690007	Extensive post-operative bruising
438533003	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of vein with contrast
777249000	Polysaccharide-iron complex (product)
434359006	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of abdominal aorta with contrast
840534001	2019-nCoV (novel coronavirus) antigen vaccination
777249000	Polysaccharide-iron complex
840534001	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen vaccination
777937008	Vindesine (product)
430290003	Fluoroscopy guided percutaneous laser ablation of long saphenous vein with contrast
777937008	Vindesine
430286000	Fluoroscopy guided percutaneous fenestration of aorta with contrast
776714000	Pioglitazone + Metformin (product)
431530008	Fluoroscopy guided percutaneous brachytherapy of hepatic artery with contrast
776714000	Pioglitazone + Metformin
431485005	Fluoroscopic PTA (percutaneous transluminal angioplasty) of subclavian artery with contrast
1204436008	Isosorbide dinitrate (product)
433256008	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of pulmonary artery with contrast
1204436008	Isosorbide dinitrate
430403008	Fluoroscopic PTA (percutaneous transluminal angioplasty) of transplanted renal artery with contrast
434436004	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of internal iliac artery with contrast
774774008	Benperidol (product)
430403008	Fluoroscopy guided percutaneous transluminal angioplasty of transplanted renal artery with contrast
434436004	Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of internal iliac artery with contrast
774774008	Benperidol
897034005	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result positive
775004005	Calcium phosphate (product)
897035006	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result negative
775004005	Calcium phosphate
776026001	Follitropin delta (product)
776026001	Follitropin delta
776456002	Lacidipine (product)
776456002	Lacidipine
777541003	Sitagliptin (product)
777541003	Sitagliptin
777478002	Saccharin (product)
777478002	Saccharin
776227000	Irbesartan + Hydrochlorothiazide (product)
776227000	Irbesartan + Hydrochlorothiazide
776203002	Normal immunoglobulin human (product)
776203002	Normal immunoglobulin human (product)
776203002	Normal immunoglobulin human
776203002	Normal immunoglobulin human
774517008	Aluminium hydroxide + Magnesium trisilicate (product)
774517008	Aluminium hydroxide + Magnesium trisilicate
777655001	Sumatriptan (product)
777655001	Sumatriptan
774876001	Bismuth subnitrate (product)
774876001	Bismuth subnitrate
776329000	Indometacin (product)
776329000	Indometacin
138875005	32.0.0_20210512000001 UK clinical extension
138875005	32.0.0_20210512000001 UK clinical extension
775294007	Clobazam (product)
775294007	Clobazam
774635007	Argatroban (product)
774635007	Argatroban
775970004	Flavoxate (product)
775970004	Flavoxate
777901003	Urofollitropin (product)
777901003	Urofollitropin
775855004	Ethambutol (product)
775855004	Ethambutol
776877007	Natamycin (product)
776877007	Natamycin
775425002	Cycloserine (product)
775425002	Cycloserine
777782001	Trifluridine + Tipiracil (product)
777782001	Trifluridine + Tipiracil
777352005	Protionamide (product)
777352005	Protionamide
776330005	Indoramin (product)
776330005	Indoramin
776215003	Tick-borne encephalitis immunoglobulin (product)
776215003	Tick-borne encephalitis immunoglobulin (product)
776215003	Tick-borne encephalitis immunoglobulin
776215003	Tick-borne encephalitis immunoglobulin
777094001	Pegademase (product)
777094001	Pegademase
777667004	Tafluprost (product)
777667004	Tafluprost
774403002	Acamprosate (product)
774403002	Acamprosate
774888004	Boceprevir (product)
774888004	Boceprevir
775155001	Chamomile (product)
775155001	Chamomile (product)
775155001	Chamomile
775155001	Chamomile
777913008	Valsartan (product)
777913008	Valsartan
775678008	Dolasetron (product)
775678008	Dolasetron
775948002	Ferrous glycine sulfate (product)
775948002	Ferrous glycine sulfate
774656009	Aspirin (product)
774656009	Aspirin
776342000	Insulin detemir (product)
776342000	Insulin detemir
775982008	Fludarabine (product)
775982008	Fludarabine
774530009	Diethylpropion (product)
774530009	Diethylpropion
775716009	Dutasteride (product)
775716009	Dutasteride
777364002	Pyrazinamide (product)
777364002	Pyrazinamide
777794005	Tocilizumab (product)
777794005	Tocilizumab
774623008	Apalutamide (product)
774623008	Apalutamide
775413000	Morphine + Cyclizine (product)
775413000	Morphine + Cyclizine
775843005	Estradiol + Norgestrel (product)
775843005	Estradiol + Norgestrel
777528002	Silicone (product)
777528002	Silicone
776177005	Hemin (product)
776177005	Hemin
777491001	Salmeterol (product)
777491001	Salmeterol
774966003	Caffeine (product)
774966003	Caffeine
775936000	Fenticonazole (product)
775936000	Fenticonazole
775810006	Erenumab (product)
775810006	Erenumab
777315005	Primidone (product)
777315005	Primidone
776104004	Glecaprevir + Pibrentasvir (product)
776104004	Glecaprevir + Pibrentasvir
775994004	Fluorescein (product)
775994004	Fluorescein
776964002	Ocriplasmin (product)
776964002	Ocriplasmin
775512008	Dexibuprofen (product)
775512008	Dexibuprofen
775753003	Empagliflozin + Linagliptin (product)
775753003	Empagliflozin + Linagliptin
777934001	Vildagliptin (product)
777934001	Vildagliptin
774725007	Aztreonam (product)
774725007	Aztreonam
776598001	Macrogol 3350 (product)
776598001	Macrogol 3350
775146004	Cetrorelix (product)
775146004	Cetrorelix
776059003	Hydrocortisone + Fusidic acid (product)
776059003	Hydrocortisone + Fusidic acid
774713009	Axicabtagene ciloleucel (product)
774713009	Axicabtagene ciloleucel
777946002	Vortioxetine (product)
777946002	Vortioxetine
777797003	Tolazoline (product)
777797003	Tolazoline
776288008	Ibuprofen + Levomenthol (product)
776288008	Ibuprofen + Levomenthol
777258007	Porcine Factor VIII (product)
777258007	Porcine Factor VIII
776116005	Glucarpidase (product)
776116005	Glucarpidase
777568003	Sodium nitrite (product)
777568003	Sodium nitrite
776035008	Formoterol (product)
776035008	Formoterol
777487006	Salicylic acid + Sulfur (product)
777487006	Salicylic acid + Sulfur
777832001	Triamterene (product)
777832001	Triamterene
1148546001	Tepotinib (product)
1148546001	Tepotinib
776952005	Nusinersen (product)
776952005	Nusinersen
775536007	Dextropropoxyphene (product)
775536007	Dextropropoxyphene
774644008	Ascorbic acid (product)
774644008	Ascorbic acid
775924006	Felodipine + Ramipril (product)
775924006	Felodipine + Ramipril
776128002	Glutathione (product)
776128002	Glutathione
775822009	Erythromycin (product)
775822009	Erythromycin
775077004	Carvedilol (product)
775077004	Carvedilol
776988000	Omalizumab (product)
776988000	Omalizumab
775134003	Cerliponase alfa (product)
775134003	Cerliponase alfa
775765004	Enflurane (product)
775765004	Enflurane
776060008	Gabapentin (product)
776060008	Gabapentin
777340003	Propiverine (product)
777340003	Propiverine
777168008	Phenol (product)
777168008	Phenol
777909001	Valganciclovir (product)
777909001	Valganciclovir
776816007	Molgramostim (product)
776816007	Molgramostim
775900003	Etoposide (product)
775900003	Etoposide
776321002	Indinavir (product)
776321002	Indinavir
776939000	Noradrenaline (product)
776939000	Noradrenaline
775053005	Co-careldopa (product)
775053005	Co-careldopa
775548005	Dibotermin alfa (product)
775548005	Dibotermin alfa
777532008	Sulfadiazine (product)
777532008	Sulfadiazine
776493008	Leflunomide (product)
776493008	Leflunomide
777603002	Spironolactone (product)
777603002	Spironolactone
777844003	Trientine (product)
777844003	Trientine
777773007	Timolol (product)
777773007	Timolol
777085007	Paroxetine (product)
777085007	Paroxetine
777222000	Pirfenidone (product)
777222000	Pirfenidone
775477008	Denosumab (product)
775477008	Denosumab
775912004	Exemestane (product)
775912004	Exemestane
776252003	Lidocaine + Hydrocortisone (product)
776252003	Lidocaine + Hydrocortisone
776747009	Methyldopa (product)
776747009	Methyldopa
774885001	Bivalirudin (product)
774885001	Bivalirudin
777910006	Valine (product)
777910006	Valine
774632005	Arachis oil (product)
774632005	Arachis oil
777581005	Sodium tetradecyl sulfate (product)
777581005	Sodium tetradecyl sulfate
775834001	Esomeprazole (product)
775834001	Esomeprazole
774929009	Bumetanide (product)
774929009	Bumetanide
772187006	Abacavir (product)
772187006	Abacavir
776828004	Morphine + Peppermint (product)
776828004	Morphine + Peppermint (product)
776828004	Morphine + Peppermint
776828004	Morphine + Peppermint
777785004	Tisagenlecleucel (product)
777785004	Tisagenlecleucel
775065009	Carboplatin (product)
775065009	Carboplatin
776333007	Ingenol mebutate (product)
776333007	Ingenol mebutate
776664000	Melatonin (product)
776664000	Melatonin
777922009	Vedolizumab (product)
777922009	Vedolizumab
776927008	Nitrofurantoin (product)
776927008	Nitrofurantoin
775158004	Chloral hydrate (product)
775158004	Chloral hydrate
775489005	Desloratadine (product)
775489005	Desloratadine
776141003	Golimumab (product)
776141003	Golimumab
777520009	Sertindole (product)
777520009	Sertindole
774659002	Aspirin + Caffeine (product)
774659002	Aspirin + Caffeine
776047002	Framycetin (product)
776047002	Framycetin
777097008	Pegfilgrastim (product)
777097008	Pegfilgrastim
777692001	Telaprevir (product)
777692001	Telaprevir
777499004	Sarilumab (product)
777499004	Sarilumab
775195004	Chlorphenamine (product)
775195004	Chlorphenamine
775682005	Lidocaine + Domiphen (product)
775682005	Lidocaine + Domiphen
774848009	Bethanechol (product)
774848009	Bethanechol
775630008	Diphenhydramine + Pholcodine (product)
775630008	Diphenhydramine + Pholcodine
775629003	Paracetamol + Diphenhydramine (product)
775629003	Paracetamol + Diphenhydramine
776652008	Medroxyprogesterone (product)
776652008	Medroxyprogesterone
776893003	Neratinib (product)
776893003	Neratinib
775441001	Danaparoid (product)
775441001	Danaparoid
777438009	Rifampicin (product)
777438009	Rifampicin
776640001	Mebendazole (product)
776640001	Mebendazole
777881004	Tuberculin purified protein derivative (product)
777881004	Tuberculin purified protein derivative
777868006	Triptorelin (product)
777868006	Triptorelin
774836006	Tilactase (product)
774836006	Tilactase
838471001	Avapritinib (product)
838471001	Avapritinib
777615003	Streptozocin (product)
777615003	Streptozocin
776881007	Nefazodone (product)
776881007	Nefazodone
774406005	Acebutolol + Hydrochlorothiazide (product)
774406005	Acebutolol + Hydrochlorothiazide
775171001	Nystatin + Chlorhexidine (product)
775171001	Nystatin + Chlorhexidine
774443007	Aflibercept (product)
774443007	Aflibercept
774930004	Bumetanide + Potassium (product)
774930004	Bumetanide + Potassium
775895002	Etodolac (product)
775895002	Etodolac
775465003	Degarelix (product)
775465003	Degarelix
775605005	Dimenhydrinate (product)
775605005	Dimenhydrinate
777392007	Raltegravir (product)
777392007	Raltegravir
776627006	Mandelic acid (product)
776627006	Mandelic acid
775001002	Calcium glubionate + Calcium lactobionate (product)
775001002	Calcium glubionate + Calcium lactobionate
776264006	Hydromorphone (product)
776264006	Hydromorphone
776453005	Ketotifen (product)
776453005	Ketotifen
775789006	Mepivacaine + Adrenaline (product)
775789006	Mepivacaine + Adrenaline
775359002	Codeine + Kaolin (product)
775359002	Codeine + Kaolin
776694006	Meropenem (product)
776694006	Meropenem
777045001	Paclitaxel (product)
777045001	Paclitaxel
777475004	Rufinamide (product)
777475004	Rufinamide
775242005	Ciclosporin (product)
775242005	Ciclosporin
777826006	Trazodone (product)
777826006	Trazodone
774942009	Buserelin (product)
774942009	Buserelin
775360007	Co-codamol (product)
775360007	Co-codamol (product)
775360007	Co-codamol
775360007	Co-codamol
775777009	Eosin (product)
775777009	Eosin
776804001	Misoprostol (product)
776804001	Misoprostol
774684004	Atazanavir + Cobicistat (product)
774684004	Atazanavir + Cobicistat
775617007	Zinc oxide + Dimeticone (product)
775617007	Zinc oxide + Dimeticone
781501008	Doravirine (product)
781501008	Doravirine
774431006	Acrivastine (product)
774431006	Acrivastine
789074009	Cilastatin + Imipenem + Relebactam (product)
789074009	Cilastatin + Imipenem + Relebactam
775090006	Cefamandole (product)
775090006	Cefamandole
777298009	Prasugrel (product)
777298009	Prasugrel
775453002	Darifenacin (product)
775453002	Darifenacin
776276006	Hydroxyprogesterone (product)
776276006	Hydroxyprogesterone
774861009	Bimatoprost + Timolol (product)
774861009	Bimatoprost + Timolol
775183004	Chloroform (product)
775183004	Chloroform
776639003	Mazindol (product)
776639003	Mazindol
777033005	Oxypertine (product)
777033005	Oxypertine
777463009	Romiplostim (product)
777463009	Romiplostim
777893008	Unithiol (product)
777893008	Unithiol
777814001	Trabectedin (product)
777814001	Trabectedin
777721006	Testolactone (product)
777721006	Testolactone
774696006	Atropine (product)
774696006	Atropine
776370003	Iodixanol (product)
776370003	Iodixanol
775988007	Flunitrazepam (product)
775988007	Flunitrazepam
775827003	Erythromycin + Zinc acetate (product)
775827003	Erythromycin + Zinc acetate
774731005	Polymyxin B + Bacitracin (product)
774731005	Polymyxin B + Bacitracin
776832005	Moxisylyte (product)
776832005	Moxisylyte
774616007	Antazoline + Xylometazoline (product)
774616007	Antazoline + Xylometazoline
775072005	Carmellose (product)
775072005	Carmellose
777928008	Verteporfin (product)
777928008	Verteporfin
775393003	Cortisone (product)
775393003	Cortisone
776717007	Sitagliptin + Metformin (product)
776717007	Sitagliptin + Metformin
776489002	Lavender oil (product)
776489002	Lavender oil
777482000	Safinamide (product)
777482000	Safinamide
776122001	Potassium chloride + Glucose (product)
776122001	Potassium chloride + Glucose
776924001	Nitrazepam (product)
776924001	Nitrazepam
774604001	Anagrelide (product)
774604001	Anagrelide
776397005	Iron sorbitol (product)
776397005	Iron sorbitol
774502009	Altretamine (product)
774502009	Altretamine
775266004	Citalopram (product)
775266004	Citalopram
777321009	Procarbazine (product)
777321009	Procarbazine
775174009	Tolnaftate + Chlorhexidine (product)
775174009	Tolnaftate + Chlorhexidine
774892006	Bosutinib (product)
774892006	Bosutinib
777114003	Pentamidine (product)
777114003	Pentamidine
776385009	Ipecacuanha + Sodium bicarbonate (product)
776385009	Ipecacuanha + Sodium bicarbonate
776465009	Lamivudine (product)
776465009	Lamivudine
776134009	Glyceryl trinitrate (product)
776134009	Glyceryl trinitrate
774718000	Azathioprine (product)
774718000	Azathioprine
775839006	Estradiol (product)
775839006	Estradiol
776258004	Hydrocortisone + Potassium hydroxyquinoline sulfate (product)
776258004	Hydrocortisone + Potassium hydroxyquinoline sulfate
774743006	Becaplermin (product)
774743006	Becaplermin
777218005	Piracetam (product)
777218005	Piracetam
774409003	Acenocoumarol (product)
774409003	Acenocoumarol
775852001	Etelcalcetide (product)
775852001	Etelcalcetide
775917005	Factor VIII + von Willebrand factor (product)
775917005	Factor VIII + von Willebrand factor
776742003	Methyl salicylate (product)
776742003	Methyl salicylate
776868000	Naphazoline (product)
776868000	Naphazoline
782984006	Amifampridine (product)
782984006	Amifampridine
776373001	Iohexol (product)
776373001	Iohexol
775471009	Delavirdine (product)
775471009	Delavirdine
777664006	Tadalafil (product)
777664006	Tadalafil
776807008	Mitomycin (product)
776807008	Mitomycin
777652003	Sulindac (product)
777652003	Sulindac
776361001	Iodine (product)
776361001	Iodine
822958009	Afamelanotide (product)
822958009	Afamelanotide
1208565007	Alogliptin + Metformin (product)
1208565007	Alogliptin + Metformin
774434003	Activated charcoal (product)
774434003	Activated charcoal
775368000	Colesevelam (product)
775368000	Colesevelam
776682002	Mepyramine (product)
776682002	Mepyramine
774653001	Asfotase alfa (product)
774653001	Asfotase alfa
776020007	Fluvastatin (product)
776020007	Fluvastatin
775725003	Econazole (product)
775725003	Econazole
777791002	Tobramycin (product)
777791002	Tobramycin
776234003	Olmesartan + Hydrochlorothiazide (product)
776234003	Olmesartan + Hydrochlorothiazide
774880006	Bisoprolol (product)
774880006	Bisoprolol
773247002	Disopyramide (product)
773247002	Disopyramide
775495006	Desoximetasone (product)
775495006	Desoximetasone
777024008	Oxybuprocaine (product)
777024008	Oxybuprocaine
775670001	Eicosapentaenoic acid + Docosahexaenoic acid (product)
775670001	Eicosapentaenoic acid + Docosahexaenoic acid
138875005	34.1.0_20220803000001 UK clinical extension
138875005	34.1.0_20220803000001 UK clinical extension
775840008	Estradiol + Levonorgestrel (product)
775840008	Estradiol + Levonorgestrel
776730008	Methocarbamol (product)
776730008	Methocarbamol
774538002	Amiloride + Cyclopenthiazide (product)
774538002	Amiloride + Cyclopenthiazide
777851007	Trifluridine (product)
777851007	Trifluridine
775608007	Dimethyl fumarate (product)
